base/boot	Boot Loaders
base/libs	Base Libraries
base/init	Init System
base/apps	Base System 
base/tools	Base Tools
base/adk	Base Scripts
base/tests	Testsuites
base/shells	Shells
sys/drivers	Hardware drivers / externel Kernel modules
sys/fs		Filesystem / Blockdevice Utilities
sys/misc	System Misc
sys/serial	Serial communications & terminal emulation
sys/utils	System Utilities
sys/firmware	Firmware for Hardware Devices
sys/hw		Hardware related System utilities
app/archive	Compression and Archivers
app/browser	Browser
app/chat	Chat
app/crypto	Cryptography
app/debug	Debugging and Analyzing
app/editor	Editor and Pager
app/p2p		P2P
net/acct	IP Accounting
net/dns		DNS and DHCP
net/debug	Network Analyzing
net/firewall	Firewall
net/fs		Network Filesystems
net/http	HTTP and FTP
net/ipv6	IPv6 
net/mail	Mail
net/misc	Networking Misc
net/ntp		NTP
net/perf	Networking Performance
net/ppp		PPP / PPPoE / PPTP
net/proxy	Proxy
net/radius	Radius
net/route	Routing and Bridging
net/security	Network Security
net/voip	Voice-over-IP
net/wifi	Wireless
mm/audio	Audio
mm/image	Image
mm/video	Video
x11/apps	Xorg applications
x11/utils	Xorg utilities
x11/drivers	Xorg server and drivers
x11/misc	Xorg misc
x11/fonts	Xorg fonts
x11/libs	Xorg libraries
libs/audio	Audio Libraries
libs/comp	Compression Libraries
libs/crypto	Crypto Libraries
libs/data	XML and JSON Libraries
libs/db		Database Libraries
libs/fonts	Font Libraries
libs/image	Image Libraries
libs/misc	Misc Libraries
libs/net	Networking Libraries
libs/qt		QT libraries
libs/video	Video Libraries
dev/lang	Programming Languages
dev/perl	Perl modules
dev/python	Python modules
dev/scm		Souce Code Management 
dev/tools	Programming Tools
dev/header	Header files
