native	ADK_LINUX_NATIVE
alix	ADK_LINUX_X86_ALIX
wrap	ADK_LINUX_X86_WRAP
ibmx40	ADK_LINUX_X86_IBMX40
foxboard	ADK_LINUX_CRIS_FOXBOARD
foxg20	ADK_LINUX_ARM_FOXG20
lemote	ADK_LINUX_MIPS64_LEMOTE
ag241	ADK_LINUX_MIPS_AG241
zaurus	ADK_LINUX_XSCALE_ZAURUS
shuttle	ADK_LINUX_X86_64_SHUTTLE
x86_64_rescue	ADK_LINUX_X86_64_RESCUE
x86_rescue	ADK_LINUX_X86_RESCUE
mipsel_rescue	ADK_LINUX_MIPSEL_RESCUE
mips_rescue	ADK_LINUX_MIPS_RESCUE
arm_toolchain	ADK_LINUX_ARM_TOOLCHAIN
armel_toolchain	ADK_LINUX_ARMEL_TOOLCHAIN
mips_toolchain	ADK_LINUX_MIPS_TOOLCHAIN
mipsel_toolchain	ADK_LINUX_MIPSEL_TOOLCHAIN
ppc_toolchain	ADK_LINUX_PPC_TOOLCHAIN
sparc_toolchain	ADK_LINUX_SPARC_TOOLCHAIN
x86_toolchain	ADK_LINUX_X86_TOOLCHAIN
x86_64_toolchain	ADK_LINUX_X86_64_TOOLCHAIN
toolchain	ADK_LINUX_ARM_TOOLCHAIN ADK_LINUX_ARMEL_TOOLCHAIN ADK_LINUX_MIPS_TOOLCHAIN ADK_LINUX_MIPSEL_TOOLCHAIN ADK_LINUX_PPC_TOOLCHAIN ADK_LINUX_SPARC_TOOLCHAIN ADK_LINUX_X86_64_TOOLCHAIN ADK_LINUX_X86_TOOLCHAIN
arm_qemu	ADK_LINUX_ARM_QEMU
mips_qemu	ADK_LINUX_MIPS_QEMU
mipsel_qemu	ADK_LINUX_MIPSEL_QEMU
mips64_qemu	ADK_LINUX_MIPS64_QEMU
mips64el_qemu	ADK_LINUX_MIPS64EL_QEMU
cris_qemu	ADK_LINUX_CRIS_QEMU
x86_qemu	ADK_LINUX_X86_QEMU
x86_64_qemu	ADK_LINUX_X86_64_QEMU
qemu	ADK_LINUX_ARM_QEMU ADK_LINUX_MIPS_QEMU ADK_LINUX_MIPSEL_QEMU ADK_LINUX_MIPS64_QEMU ADK_LINUX_MIPS64EL_QEMU ADK_LINUX_CRIS_QEMU ADK_LINUX_X86_QEMU ADK_LINUX_X86_64_QEMU
rb4xx	ADK_LINUX_MIPS_RB4XX
rb532	ADK_LINUX_MIPS_RB532
routerboard	ADK_LINUX_MIPS_RB4XX ADK_LINUX_MIPS_RB532
x86	ADK_LINUX_X86_QEMU ADK_LINUX_X86_RESCUE ADK_LINUX_X86_ALIX1C ADK_LINUX_X86_ALIX2D ADK_LINUX_X86_WRAP ADK_LINUX_X86_ALIX2D13 ADK_LINUX_X86_IBMX40
x86_64	ADK_LINUX_X86_64_QEMU ADK_LINUX_X86_64_RESCUE ADK_LINUX_X86_64_SHUTTLE
